무슨 지원책? 이태원 상가는 이번 사태에 책임이 하나도 없나?,
정부 지자체  경찰 그리고 참사지역 상인들  모두 책임이 있는거지요  장사안된다고 지원해주는건 불합리합니다,
이태원참사 상인들에게도 책임이있는것같던데 그날 문은 왜 잠굼? 너네같음 다시 가고 싶겠냐?,
너이들이 자초한일을 누구에게 책임을 돌리나 시간이지나면 잊혀지고 돌아올것이다,
"그러게 마음 아프고 안타까운 일이지만 가족,지인이 아니고는 일정기간 추모하고 했으면 빨리 일상으로 돌아가야지..언제까지 이럴거야. 부모상이 나도 삼일 지나면 탈상하고 밥사고 술먹고 다하면서 왜 이 분위기를 자꾸 끌고 가냐고.. 솔직히 일반 국민들 이젠 무덤덤 하잖아. 대책은 세우고 책임자 처벌은 알아서 하고 국민들한테 슬픔 강요하지마라..이태원 원래 할로원 말고는 그닥 사람 많이 모이고 활성화된 곳이 아니야..주말 클럽이나 바글바글 했지. 년말 다가오면 언제 그랬냐며 클럽 앞에 또 장사진을 칠거다.",
상가 측도 일말의 책임이 있다불법 증축 도로 무단사용,
상인이 뭔 잘못이야 질서못지킨 사람들에게 일차 책임이 있다 그렇게 공권력 절실히 원하면 앞으론 경찰 손잡고 놀러다녀라,
국민세금으로 지원? 진짜 다 나라 책임? 본인들이 장사만 할게 아니라 통제를 했었어야지. 음악은 경쟁적으로 크게 틀고. 가게로 못 들어오게 하고선,
상인회도 책임있다,
이태원거리 전체를 또는 넓은구역을 추모품으로 채우는거 그만하고 추모공간을 별도로 만들어줘라 이러다가 저분들도 죽는사람들 나오면 누가 책임져주겠니...  현실로 돌아오자 미국도 이런 일이 생기면별도추모공간을 만들어서 사람들이 찾아오더라,
"더 탐사, 민들레 그리고 더불어 성 추행당은 지금 당장이태원 달려가서 밥도 먹고 술도 먹고 옷도 사줘라 ~
이태원 상인들도 지금 저 공간에 있고 싶겠냐 ? 가장으로써 생계를 책임지는터라 트라우마에 시달려도 
힘들지만 가게 문 여는것 아니겠냐 ? 대한민국에서 
국회의원 뱃지 달고서 참사를 미리 방지하지 못한 
같은 공범들이다~ 세월호 2탄 찍을려고 희생자 명단 강제 공개했을때 이미 니들은 이태원 거리의 수 많은 자영업자에게 대역죄를 지은 것이다.",
....책임지지 않는 정부....그저 국민만 피흘리는거지....이태원 상권 피해도 지들 책임 아니라고 또 회피할것....저 놈들은 그저 상전 대우만 받고 싶을뿐 국민을 개돼지로 여기니까....국민이 표로만 보이고...18,
"이제는 아무때나 지원책운운하네...이런 일 빚어지기 전에 관리했어야지...
돈 벌때는 얼씨구나 좋다고 안전무시하더니...
사고나서 매출감소하니까 지원책 달라고 우는거임?
당신들이 이번 사고에 어느 정도 책임은 있지 않나?
장사잘 될 때는 매출줄여서 세금탈세하고...베짱영업하면서 장사 조금 안된다고 징징되는 게 어이가 없네..",
그니까 더블어 사는게 사회란건데. .연대책임 인거지 결코 혼자 망하거나 흥하는거.아니다. .,
이태원 선동으로 정권탈취 이용해 쳐먹는 민주당이 주민들 생계도 책임져라..,
"개인일탈 이라매? 개인사고에, 개인 가게 매상감소에 왜?  세금지원 타령이냐...?  국가 애도기간도 끝났으니 슬퍼하거나 노여워해도 안됀다...개인일로 자숙하고 아무 책임없다는 윤대통령 찬양만 하면됀다.....그러면 시간은 흐른다...",
무조건 사고나면 정부책임이고 또 보상까지 해달라고요!!,
이정도 되면 정말 심각한 국민성 몇일전까지만해도 뉴스에서 주변상이들 가슴아프다며 장사 안되고 책임감을 느낀다는 더블어만진당 선동 당하던 인간들 만더니 자원해달란다!!!,
니네들이 도의적 책임 조차 회피 언급조차 안하고. 민주당이 정부 책임으로 시체팔이할때  니들이 도의적 책임 과실 인정했으면 민주당이 빨대안꽂았을수도. 민주당 빨대 꽂으면 최소5년 그지역 죽음의 성지 처럼 만들어서 5년 내내 안산처럼 이용할거다. 이태원은 끝났다고 본다.,
책임지지 않는 공무원들 신음하는 국민들 그 사이 손님이 오고가는 찾는이 없어 더 을씨년 스러운 이태원상가 주인들 천공만 이땅에 없었더라면 대한민국호는 시스템적으로 잘 돌아가고 있었는데 위기관리 시스템도 잘 갖추어 놓았는데 운영을 하는 공무원들이 눈치만 보다 이지경까지 만들어져 있네,
많은 젊은이가희생당한 참사인데 책임지고물러나는자는없고 서로책임떠넘기기만 하고있으니.....ㅉ ㅉ ㅉ,
"한사람의 잘못된 정책이 157명의 인명과 전국민을 힘들게 했다책임질 사람들은 하루빨리  책임을 지고  남은 유족들과 상인들도  어려움을 털고 일어서기ㅡㄹ 바랍니다
국가의 부재로 다시는 이런 일들이 발생하지않기를 기원합니다",
3개일보쓰레기야   왜   죽게되었는지나   밝혀라   윤가가  책임져라,
오세훈 시장님  tbs가  지금 중요 한가요??   지금 당신은 이사때를 책임지고  물러나야 할때입니다~~~~,
상인들 손해와 트라우마 치료등 당연히 국가의책임이다!!!!!,
정치적으로 물고 늘어지는건 반대지만 왜 참사 당일 경찰인력이 없었는지는 따져봐야되고 관련된 사람들이 꼭 책임을 져야한다. 놀러간사람들 탓하는 사람들이 있던데.. 그런 무질서함을 통제하는게 경찰의 임무다.,
음악 크게 틀어또~~~~,
당시 음악소리가 엄청 크든데요.경찰이 영업중지 요구해도 안들었다고 하는데 사실인가요.,
이태원 전 상인들이 피해보는건 안타깝지만 사람들 죽어가는 와중에서 음악 크게틀어놓고 장사하던 사람들은 좀 피해 아니 엄청난 피해를 봐도 된다,
... 참사는 안타까우지만 그 참사속에서도 음악틀고 장사하고 압사ㄴㄴ. 그러던 이태원 상인들 벌받는거지. 그 뭐냐 구청장이라는 아줌마는... 되따...그냥 윤씨 탄핵 됬으면 좋것다,
이태원 상인들 책임도 크다. 누구보다 인파를 항상 지켜뵜던 사람들이고 안전대책을 강구했어야한다. 하는 거라곤 음악 귀 찢어지게 틀고 음식도 엉터리 음식 바가지 씌우고 돈만 벌기 바빴지. 그게 음식이냐. 와이키킨지 뭔지 클럽은 가게 안으류 피신 들어온 여자들을 그대로 똑같이 들어온 길로  나가라고 쫓아냈다.,
"사고당시 음악 엄청 크든데,..음악부터 크시지 그랬어요.장사가 그리 중요했나요.누군 들어오지 못하게 문도 잠갔다는데..참 안타깝네요. 다들 놀고 즐기고 장사하려고 한 거뿐이데..그런데 지금 그럴 때가 아니죠. 엄청난 지구대변화가 감지되고 있으며 재난이 증가할 것으로 보는데 그때도 경찰.정부탓만 하려는지요?",
심폐소생술 하는데 음악 신나게 틀은 곳. 그 정도 인파인데도 건물 안으로 못드가게 막은 곳.,
"솔직히 상인들이 제일 나쁨. 통제, 책임은 경찰, 정부에게 떠넘기고, 본인들은 돈 빨아먹는데만 급급했잖아. 쎄하다 싶음 자치적으로 상인들이 통제했어야지. 미디어에서 언급 안하니 입꾹에다 징징거리고 있네 ㅉㅉ 응?? 사람들 다 알고 있다~~ 게다가 사망자 속출하는데 댄스음악 틀고 있고, 건물 안으로 못드가게 막아?? ㅉㅉ",
심폐소생술 하는데 음악 신나게 틀은 곳. 그 정도 인파인데도 건물 안으로 못드가게 막은 곳.,
"오히려 지금처럼 문닫고 있고 고담시티처럼 만들어놓으면 더 안옴. 오히려 음악도 크게, 평소처럼 계속 열어놔야하고 술한잔 주는 이벤트같은걸로 심폐소생해야지.",
못가지 안가지 ..... 무서워서 못가지 ....안타깝지만 어쩔수 없이 ...어찌 저기서 술을 먹을수 있겠나그날 그   뭣 같은 음악만 껐어도 사람들 목소리가 잘 들렸을거다 ..... 그  소리 때문에 아우성 소리느 들리도 않음,
"솔직히 상인들이 제일 나쁨. 통제, 책임은 경찰, 정부에게 떠넘기고, 본인들은 돈 빨아먹는데만 급급했잖아. 쎄하다 싶음 자치적으로 상인들이 통제했어야지. 미디어에서 언급 안하니 입꾹에다 징징거리고 있네 ㅉㅉ 응?? 사람들 다 알고 있다~~ 게다가 사망자 속출하는데 댄스음악 틀고 있고, 건물 안으로 못드가게 막아?? ㅉㅉ",
눈깔로 상황을 봤을텐데 그 요란한 음악이라도 껏으면 뒤로가달라는 손짓을 밀라는 소리로 들어서 깔아 죽은건 어떻게 생각하냐? 상인들 책임 없다고 생각하나? 상인중에 119 112 신고하고 살리려고 한 놈들 몇이나 되는지 되묻고 싶다.,
"지역 소상공인분들.. 지역 경제가 심히 걱정되실 듯 한 점 공감합니다. 그러나 형평성을 고려해 봅시다.정부에 등록 안 한 축제면 소상공인 여러분 스스로가 지역 축제 안전에 책임질 정책 만들고 관리할 의무가 있습니다. 예를들어 제가 현대자동차 다니는데 ㅡ 대전 영업장에서 정규 본사발 캠페인도 아닌…. 영업장 자체 크리스마스 이벤트를 하다가 안전 사고났습니다…. 이건 대전 영업장 책임입니다. 전국 몇백개가 넘는 각 영업장의 할로윈 이벤트를 정의선 회장에 미리 보고할까요? 큰 조직 생활 해 본 사람만 알 수준인가요? 보고 안되죠.만약 대전 영업장이 지역구 영업장한테 사람 몰린다고 안전 요원 추가를 요청했다면… 충청도에서 수습을 하겠죠.대전 영업장에서 크리스마스 이벤트 사고 낸 걸로 현대자동차 정의선 회장 자르고, 기간사업 이끌던 R&D 남양연구소에서 하던 미래차 사업이나 미케팅, 제조 공장, 부품 하청사며 해외에 나간 밥인 대리점에 뿌려놓은 정책은.. 다 흔들리고 변할텐데… 그룹사 계열사 하청만 몇백개인데 거기 딸린 가족들…  몇십만명 몇백만명에  ㅡ 대전 영업장에 피해금 갚아야 한다고 월급 줄이는 부정적인 영향 줄까요?? 그리고 사고 예견 했다면서 ㅡ 왜 안전한 수준으로 입장객 제한 안 한건지? 죽어가는데… 음악 안 끄고ㅡ사람 죽어가는데 술 판건지ㅡ?모순입니다… 전 이 대목에서…. 직장인으로서 말의 앞뒤가 안 맞는 것 같습니다. 유리지갑 직장인들은 밀어ㅡ밀어ㅡ 한 고의 사고에 저희 세금 들어가는 것 반대입니다. 사고가 예견 가능했었다면 안전한 수준까지만 받고 돌려보던지 귀가하라고 했어야죠..! 그 업주들은 죗값 받아야 합니다….그래야 이태원 소상공인들도 이성적으로 정화시킬 노력은 한다고 공감 받을 수 있습니다.이성적으로 공감 받을만한 행동 안 하면이태원 안 갈 겁니다.",
사람죽어나가는데 cpr하고있는데 음악빵빵하게 틀고 자빠졌더만? 제정신이냐?그리고 다들춤추고 취하고 노래부고 극혐 20대,
진작에 음악소리좀 끄지 그랬어요... 구조대 왔을때 충분히 그럴 수 있었잖아요..,
사람죽고 난리가 났는데 음악 크게 틀어놓은 가게들 보며 이태원 정말 싫다.,
다는 아니지만 해수욕장에 가면 시즌때는 상가회에서 질서 및 안전을 위해 알바생들을 고용하기도 한다. 그런데 이태원은 뭘 했는가. 사건이 터진 와 중에도 술을 팔고 음악을 틀고.....최소한 이태원 상가연합회 같은 곳에서 아니 매장들이 자발적으로 인원 제한 및 안전에 대한 조치를 최소한이라도 했어야 하는 것이 아닌가. 공권력에 책임을 다 돌린다면 만약 그 공권력이 안전에 대한 강한 제재를 한다면 어떻게 할 것인가...,
끔찍하다 ㅡ 이 상황에도  징징징 ㅡ  그러니깐 아이들이 압사당해 죽어갈때  음악끄고  가계로 분산 흡수 해서 살렸어야지 ㅡ 160명  젊은 원귀가  한을 품고 있는 곳에 ㅡ가고 싶겠냐? 아직도 사장놀이 타령 이라니 ㅡ 거기는 공동묘지다,
자업자득이다 사람이 그렇게 죽어나가는대도 음악 크게틀고 새벽 늦게까지 장사한 니들이 인간이냐 그리고 경찰 통제 하지말라고 이태원 상인들이 부탁한거 아니냐 어디서 코스프레야 이나라는 정상이 아니다 국민 70% 이상은 정상이 아니다 전부가 미쳐돌아간다..ㅉㅉ,
그 난리통에 음악도 안끈 니들 잘못이 크다 죽는소리 하지마라,
끔찍하다 ㅡ 이 상황에도  징징징 ㅡ  그러니깐 아이들이 압사당해 죽어갈때  음악끄고  가계로 분산 흡수 해서 살렸어야지 ㅡ 160명  젊은 원귀가  한을 품고 있는 곳에 ㅡ가고 싶겠냐? 아직도 사장놀이 타령 이라니 ㅡ 거기는 공동묘지다,
자업자득이다 사람이 그렇게 죽어나가는대도 음악 크게틀고 새벽 늦게까지 장사한 니들이 인간이냐 그리고 경찰 통제 하지말라고 이태원 상인들이 부탁한거 아니냐 어디서 코스프레야 이나라는 정상이 아니다 국민 70% 이상은 정상이 아니다 전부가 미쳐돌아간다..ㅉㅉ,
그 난리통에 음악도 안끈 니들 잘못이 크다 죽는소리 하지마라,
사고 났을때 음악안끄고 신나게 음악튼죄 아닌가? 자업자득이다. 그골목 상가들 다시는 안가고싶다.,
그 아비규환중에 음악틀고 술 팔던 동네에서 이제는 지원을 해달라??? 양심없는 민주당같은 것들 ㅉ,
음악좀 끄지 그랬어요..다들 알고 계셨잖아요..그 상황..이기적인 나라로 변했기에 이런참사가 온것입니다.스스로 버티세요.,
사고 골목에 시체 나뒹구는데 클럽음악 끄지않고 틀어놓은거 생각하면 . 지금도 소오름,
사람들 죽어도 음악틀고  니들영업띠던곳. 음악은 있는대로  틀어놓고 .소름끼치는것들 .절대돈주지마라. 내세금으로 절대주지마!,
♥엠뷸런스가 오고 구급대가 시체와 중환자 운반하고 길거리에 시체와 심정지환자가 널부러진 상황에서도 클럽음악 쿠게 틀어 놓고 영업하던 가게들이 할 말은 아니지 않냐.???????,
그런놈들이 사고났을때 음악 소리 안줄여서 난장판을 만들어?,
사람 죽어가는데도 클럽은 음악 틀어재끼고 난장판에.. 한몫챙기려고 사고난지 3시간 4시간 새벽까지도 업장들은 신경도 안쓰고 장사한거 전국민이 다 봤는데... 거길 가고 싶겠냐.. 끝임..,
사고 이후에도 새벽까지 술 팔며 음악 틀어놓고 했던 딴나라 영업장은 어떠한 걱정도 해줄 필요가 없다 진짜 그건 아니었다,
사람이 죽어가는데도 음악 크게 틀고 술 팔던 가게들이 이제와서?,
"사고나서 사람이 죽어가는 와중에도 사람들 돌려보내기는 커녕, 음악틀고 영업하면서 돈챙기던곳들 아닌가?",
음악이나 끄던지. 완전히 가게들이 미쳤더라,
음악끄고 가게문만 열었어도 이렇게 많은희생자가 생기진 않았다 무슨 지원?,
결국 ㅋㅋㅋㅋ 음악크게틀어놓던만 어휴.. 자업자득이지,
"이태원은이참에망해야지어딜거기서장사할라구
니들이거기서한건음악틀고
술팔고한거밖에더있어",
너네 음악소리만 줄였어도? 사람들 좀 피하게 문좀 열어놨어도????,
지원 ?  사람이.  쓰러졌는대도. 음악. 크게. 틀고. 영업한주제에 지원.,
국민세금으로 지원? 진짜 다 나라 책임? 본인들이 장사만 할게 아니라 통제를 했었어야지. 음악은 경쟁적으로 크게 틀고. 가게로 못 들어오게 하고선,
참사 때 노래 끄라니까 내 가게 음악 왜 끄라고 하냐고 더 크게 틀었다던 애들은 이 꼬라지 돼도 반성 안 할 걸? 더 망해야 한다고 본다.,
"아직도 귓가에 들려..   많은 사람이 죽어가는 현장에서 볼륨을 높여 틀어대든 광란의 음악소리가.  이런곳에 지원책, 상권 운운?   얼마나 지났다고..",
끝까지 스피커로 음악 틀던 가게는 지원하지말아라,
그 아비규환중에 음악틀고 술 팔던 동네에서 이제는 지원을 해달라??? 양심없는 국짐당같은 것들 ㅉ,
참 어이가 없다. 이번 참사에 업주들도 한몫들 하셨지요. 아니라고 말할수 있나요?사람들 모이게 광고하고 음악 틀고 분위기 띠우고 하셨지요. 뿌리대로 거둡니다. 보상 지원 그런 말은 이제 듣기가 진짜 거북 하네요.,
